region_id,district,state,crop_label
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,rice
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,turmeric
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,turmeric
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,turmeric
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,turmeric
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,turmeric
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,cotton
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,cotton
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,cotton
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,cotton
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,cotton
Salem_Tamil_Nadu,Salem,Tamil Nadu,sugarcane
Salem_Tamil_Nadu,Salem,Tamil Nadu,sugarcane
Salem_Tamil_Nadu,Salem,Tamil Nadu,sugarcane
Salem_Tamil_Nadu,Salem,Tamil Nadu,sugarcane
Salem_Tamil_Nadu,Salem,Tamil Nadu,sugarcane
Erode_Tamil_Nadu,Erode,Tamil Nadu,turmeric
Erode_Tamil_Nadu,Erode,Tamil Nadu,turmeric
Erode_Tamil_Nadu,Erode,Tamil Nadu,turmeric
Erode_Tamil_Nadu,Erode,Tamil Nadu,turmeric
Erode_Tamil_Nadu,Erode,Tamil Nadu,turmeric
Nashik_Maharashtra,Nashik,Maharashtra,onion
Nashik_Maharashtra,Nashik,Maharashtra,onion
Nashik_Maharashtra,Nashik,Maharashtra,onion
Nashik_Maharashtra,Nashik,Maharashtra,onion
Nashik_Maharashtra,Nashik,Maharashtra,onion
Pune_Maharashtra,Pune,Maharashtra,sugarcane
Pune_Maharashtra,Pune,Maharashtra,sugarcane
Pune_Maharashtra,Pune,Maharashtra,sugarcane
Pune_Maharashtra,Pune,Maharashtra,sugarcane
Pune_Maharashtra,Pune,Maharashtra,sugarcane
Nagpur_Maharashtra,Nagpur,Maharashtra,cotton
Nagpur_Maharashtra,Nagpur,Maharashtra,cotton
Nagpur_Maharashtra,Nagpur,Maharashtra,cotton
Nagpur_Maharashtra,Nagpur,Maharashtra,cotton
Nagpur_Maharashtra,Nagpur,Maharashtra,cotton
Amravati_Maharashtra,Amravati,Maharashtra,cotton
