region_id,district,state,latitude,longitude,N,P,K,pH,moisture,organic_matter
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,80,38,124,6.59,71.0,2.66
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,78,44,116,6.56,74.1,2.94
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,83,40,113,6.33,68.7,2.7
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,74,35,114,6.39,70.0,2.83
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,76,44,114,6.37,65.8,2.77
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,11.0,76.9,56,38,82,7.4,44.1,1.85
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,11.0,76.9,66,30,80,7.09,49.6,1.7
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,11.0,76.9,52,37,81,7.14,41.1,1.97
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,11.0,76.9,64,33,94,7.21,49.2,1.79
Coimbatore_Tamil_Nadu,Coimbatore,Tamil Nadu,11.0,76.9,57,34,90,7.37,43.2,1.94
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,9.9,78.1,61,32,74,7.49,39.1,1.61
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,9.9,78.1,60,31,88,7.38,44.0,1.38
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,9.9,78.1,54,26,82,7.46,37.2,1.56
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,9.9,78.1,61,29,86,7.56,41.9,1.64
Madurai_Tamil_Nadu,Madurai,Tamil Nadu,9.9,78.1,59,29,80,7.54,44.8,1.65
Salem_Tamil_Nadu,Salem,Tamil Nadu,11.6,78.1,66,42,108,6.95,50.1,2.33
Salem_Tamil_Nadu,Salem,Tamil Nadu,11.6,78.1,69,34,104,6.79,55.4,2.06
Salem_Tamil_Nadu,Salem,Tamil Nadu,11.6,78.1,77,36,95,6.93,54.5,2.26
Salem_Tamil_Nadu,Salem,Tamil Nadu,11.6,78.1,74,39,104,6.69,58.8,2.18
Salem_Tamil_Nadu,Salem,Tamil Nadu,11.6,78.1,77,38,98,6.95,59.9,2.3
Erode_Tamil_Nadu,Erode,Tamil Nadu,11.3,77.7,57,40,94,7.17,49.2,1.83
Erode_Tamil_Nadu,Erode,Tamil Nadu,11.3,77.7,59,32,104,6.82,50.6,2.18
Erode_Tamil_Nadu,Erode,Tamil Nadu,11.3,77.7,58,34,99,7.19,50.5,2.19
Erode_Tamil_Nadu,Erode,Tamil Nadu,11.3,77.7,65,31,93,7.18,53.1,1.83
Erode_Tamil_Nadu,Erode,Tamil Nadu,11.3,77.7,66,37,91,7.14,54.2,1.9
Nashik_Maharashtra,Nashik,Maharashtra,20.0,73.8,80,39,104,6.93,55.6,2.52
Nashik_Maharashtra,Nashik,Maharashtra,20.0,73.8,72,46,112,6.81,51.6,2.64
Nashik_Maharashtra,Nashik,Maharashtra,20.0,73.8,69,44,111,6.92,55.0,2.34
Nashik_Maharashtra,Nashik,Maharashtra,20.0,73.8,76,45,115,6.93,57.4,2.62
Nashik_Maharashtra,Nashik,Maharashtra,20.0,73.8,74,43,115,6.8,57.9,2.31
Pune_Maharashtra,Pune,Maharashtra,18.5,73.8,62,33,97,7.07,49.1,2.26
Pune_Maharashtra,Pune,Maharashtra,18.5,73.8,63,37,90,7.04,46.5,1.91
Pune_Maharashtra,Pune,Maharashtra,18.5,73.8,62,37,91,7.19,50.3,2.25
Pune_Maharashtra,Pune,Maharashtra,18.5,73.8,73,38,100,7.04,46.1,2.22
Pune_Maharashtra,Pune,Maharashtra,18.5,73.8,71,35,94,6.95,45.4,2.13
Nagpur_Maharashtra,Nagpur,Maharashtra,21.1,79.1,75,40,104,7.41,48.1,1.65
Nagpur_Maharashtra,Nagpur,Maharashtra,21.1,79.1,75,35,111,7.49,47.9,1.94
Nagpur_Maharashtra,Nagpur,Maharashtra,21.1,79.1,72,39,95,7.17,48.7,1.71
Nagpur_Maharashtra,Nagpur,Maharashtra,21.1,79.1,73,36,103,7.21,46.3,1.79
Nagpur_Maharashtra,Nagpur,Maharashtra,21.1,79.1,68,35,100,7.23,47.3,1.76
Amravati_Maharashtra,Amravati,Maharashtra,20.9,77.7,65,35,90,7.09,45.3,1.75
Amravati_Maharashtra,Amravati,Maharashtra,20.9,77.7,73,33,92,7.16,44.6,1.6
Amravati_Maharashtra,Amravati,Maharashtra,20.9,77.7,76,42,90,7.08,41.3,1.72
Amravati_Maharashtra,Amravati,Maharashtra,20.9,77.7,77,41,93,7.31,43.8,1.81
Amravati_Maharashtra,Amravati,Maharashtra,20.9,77.7,63,40,100,7.33,45.1,1.89
Kolhapur_Maharashtra,Kolhapur,Maharashtra,16.7,74.2,86,47,129,6.78,65.4,2.9
Kolhapur_Maharashtra,Kolhapur,Maharashtra,16.7,74.2,76,45,119,6.6,61.4,2.95
Kolhapur_Maharashtra,Kolhapur,Maharashtra,16.7,74.2,73,40,129,6.55,62.3,2.81
Kolhapur_Maharashtra,Kolhapur,Maharashtra,16.7,74.2,76,42,129,6.7,62.8,2.81
Kolhapur_Maharashtra,Kolhapur,Maharashtra,16.7,74.2,80,43,126,6.43,62.5,3.01
Ludhiana_Punjab,Ludhiana,Punjab,30.9,75.8,84,54,145,7.62,58.2,2.28
Ludhiana_Punjab,Ludhiana,Punjab,30.9,75.8,85,51,131,7.67,59.2,2.4
Ludhiana_Punjab,Ludhiana,Punjab,30.9,75.8,94,50,133,7.95,64.0,2.22
Ludhiana_Punjab,Ludhiana,Punjab,30.9,75.8,83,54,131,7.76,56.3,2.11
Ludhiana_Punjab,Ludhiana,Punjab,30.9,75.8,93,51,140,7.93,64.8,2.26
Amritsar_Punjab,Amritsar,Punjab,31.6,74.9,88,49,140,7.55,58.8,2.39
Amritsar_Punjab,Amritsar,Punjab,31.6,74.9,88,52,128,7.56,60.9,2.25
Amritsar_Punjab,Amritsar,Punjab,31.6,74.9,88,43,141,7.71,55.5,2.14
Amritsar_Punjab,Amritsar,Punjab,31.6,74.9,86,44,142,7.56,57.7,2.22
Amritsar_Punjab,Amritsar,Punjab,31.6,74.9,83,44,142,7.77,62.3,2.4
Patiala_Punjab,Patiala,Punjab,30.3,76.4,79,46,133,7.58,57.8,2.47
Patiala_Punjab,Patiala,Punjab,30.3,76.4,92,41,130,7.58,59.6,2.5
Patiala_Punjab,Patiala,Punjab,30.3,76.4,82,44,138,7.53,58.1,2.58
Patiala_Punjab,Patiala,Punjab,30.3,76.4,90,44,125,7.54,58.5,2.44
Patiala_Punjab,Patiala,Punjab,30.3,76.4,87,41,122,7.79,64.9,2.44
Gurdaspur_Punjab,Gurdaspur,Punjab,32.0,75.4,84,49,134,7.57,59.4,2.48
Gurdaspur_Punjab,Gurdaspur,Punjab,32.0,75.4,86,42,126,7.4,59.2,2.12
Gurdaspur_Punjab,Gurdaspur,Punjab,32.0,75.4,83,51,136,7.48,63.2,2.45
Gurdaspur_Punjab,Gurdaspur,Punjab,32.0,75.4,94,45,127,7.58,55.8,2.45
Gurdaspur_Punjab,Gurdaspur,Punjab,32.0,75.4,81,50,137,7.5,57.6,2.23
Bhatinda_Punjab,Bhatinda,Punjab,30.2,74.9,83,40,116,8.19,39.4,1.73
Bhatinda_Punjab,Bhatinda,Punjab,30.2,74.9,74,46,121,8.09,41.9,1.99
Bhatinda_Punjab,Bhatinda,Punjab,30.2,74.9,84,42,128,7.97,39.6,1.92
Bhatinda_Punjab,Bhatinda,Punjab,30.2,74.9,78,43,118,8.14,35.2,1.62
Bhatinda_Punjab,Bhatinda,Punjab,30.2,74.9,73,41,113,7.88,40.2,1.79
Guntur_Andhra_Pradesh,Guntur,Andhra Pradesh,16.3,80.4,75,42,117,6.91,61.6,2.59
Guntur_Andhra_Pradesh,Guntur,Andhra Pradesh,16.3,80.4,69,41,123,6.91,64.8,2.35
Guntur_Andhra_Pradesh,Guntur,Andhra Pradesh,16.3,80.4,75,46,121,7.19,58.4,2.34
Guntur_Andhra_Pradesh,Guntur,Andhra Pradesh,16.3,80.4,68,40,116,6.92,55.0,2.59
Guntur_Andhra_Pradesh,Guntur,Andhra Pradesh,16.3,80.4,81,46,118,7.07,56.8,2.53
Krishna_Andhra_Pradesh,Krishna,Andhra Pradesh,16.6,80.9,86,40,115,6.81,68.6,2.57
Krishna_Andhra_Pradesh,Krishna,Andhra Pradesh,16.6,80.9,74,45,124,6.73,63.2,2.66
Krishna_Andhra_Pradesh,Krishna,Andhra Pradesh,16.6,80.9,74,48,126,6.62,70.2,2.72
Krishna_Andhra_Pradesh,Krishna,Andhra Pradesh,16.6,80.9,74,46,117,6.73,68.1,2.88
Krishna_Andhra_Pradesh,Krishna,Andhra Pradesh,16.6,80.9,74,41,124,6.68,67.9,2.88
Kurnool_Andhra_Pradesh,Kurnool,Andhra Pradesh,15.8,78.0,61,40,101,7.33,38.8,1.73
