region_id,district,state,latitude,longitude,N,P,K,pH,moisture,organic_matter,year,annual_rainfall_mm,temp_max,temp_min,temp_mean,humidity,solar_radiation,is_monsoon,ndvi_mean,ndvi_std,ndvi_trend,ndvi_max,ndvi_min,water_stress_index,fertility_score,pH_suitability,moisture_availability,agri_potential,crop_label
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,80,38,124,6.59,71.0,2.66,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7196,0.97,1.0,0.3969,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,80,38,124,6.59,71.0,2.66,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7196,0.97,1.0,0.3969,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,80,38,124,6.59,71.0,2.66,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7196,0.97,1.0,0.3969,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,80,38,124,6.59,71.0,2.66,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7196,0.97,1.0,0.3969,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,80,38,124,6.59,71.0,2.66,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7196,0.97,1.0,0.3969,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,78,44,116,6.56,74.1,2.94,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7273,0.98,1.0,0.4011,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,78,44,116,6.56,74.1,2.94,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7273,0.98,1.0,0.4011,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,78,44,116,6.56,74.1,2.94,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7273,0.98,1.0,0.4011,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,78,44,116,6.56,74.1,2.94,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7273,0.98,1.0,0.4011,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,78,44,116,6.56,74.1,2.94,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7273,0.98,1.0,0.4011,rice
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,10.8,79.1,83,40,113,6.33,68.7,2.7,2023,9319.3,33.940000000000005,22.98,28.459999999999997,79.84833333333333,17.971666666666668,20,0.5515333333333333,0.028274999999999998,-0.013097,0.6505,0.4525,0.0031,0.7192,0.9433,1.0,0.3967,rice
